Nombre,Año,Episodios,Tipo,Link,Sinopsis
Heels,2021,8,Drama,https://www.starz.com/ar/es/series/heels/60760,"Dos hermanos y rivales en el ring - uno el villano o “heel”, el otro el héroe o “face” -se disputan el triunfo en la liga de lucha libre de su padre fallecido, buscan la"
Flesh And Bone,2015,8,"Danza, Drama",https://www.starz.com/ar/es/series/flesh-and-bone/24528,"Esta oscura y delicada serie sigue a una joven bailarina, Claire, que se une a una prestigiosa compañía de ballet de la ciudad de Nueva York y se encuentra con el glamour y"
Boss,2011 - 2012,18,Drama,https://www.starz.com/ar/es/series/boss/30888,"El alcalde Tom Kane (Kelsey Grammer) es el rey de Chicago y gobierna su dominio con un puño de hierro. El engaño, el escándalo y la traición van de la mano con la forma de"
Wrong Man,2018 - 2020,13,"Documental, Drama",https://www.starz.com/ar/es/series/wrong-man/38184,Un equipo de expertos junto con investigadores locales buscan la verdad que hay detrás de casos criminales de convictos que fueron encarcelados por décadas y que presumen
The Name of the Rose,2019,8,Drama,https://www.starz.com/ar/es/series/the-name-of-the-rose/45429,"En 1327, un brillante monje franciscano ingés, Guillermo de Baskerville, es enviado por el Santo Imperio Romano a un monasterio aislado al norte de Italia para un dramático"
SEDUCED: INSIDE THE NXIVM CULT,2020,4,Documental,https://www.starz.com/ar/es/series/seduced-inside-the-nxivm-cult/59967,"Esta docuserie de la directora y productora Cecilia Peck y la productora y editora Inbal Lessner —quienes colaboraron en ""Brave Miss World"", nominada al Emmy®— sigue el"
The Attaché,2021,10,Drama,https://www.starz.com/ar/es/series/the-attach%C3%A9/62262,"Avshalom, un músico exitoso, se traslada a París cuando su esposa Annabelle consigue un trabajo allí. Son recibidos por ataques terroristas y el sueño de un año romántico en"
Now Apocalypse,2019,10,"Comedia, LGBTQ",https://www.starz.com/ar/es/series/now-apocalypse/43571,"“Now Apocalypse” se centra en Ulysses y sus amigos, en su búsqueda de amor, sexo y fama mientras intentan navegar la ciudad de Los Ángeles. Los sueños de Ulysses le hacen"
The Dresden Files,2007,12,"Acción, Crimen",https://www.starz.com/ar/es/series/the-dresden-files/45616,"Harry Dresden (Paul Blackthorne), detective privado con habilidades extraordinarias. Ayuda a la policía con delitos al parecer inexplicables y sigue sus propios casos,"
And Then There Were None,2015,3,"Crimen, Drama",https://www.starz.com/ar/es/series/and-then-there-were-none/45929,"Basado en la novela policíaca más vendida de todos los tiempos por Agatha Christie. Ocho extraños son atraídos a una isla aislada en la costa de Devon, donde pronto queda"
Das Boot,2018 - 2020,16,Drama,https://www.starz.com/ar/es/series/das-boot/45955,"En 1942, en la Francia ocupada, el U-612 está listo para su primer viaje, dirigiéndose a la guerra que es cada vez más violenta, con su joven tripulación y su nuevo capitán,"
Blue Mountain State,2010 - 2011,39,"Comedia, Deportes",https://www.starz.com/ar/es/series/blue-mountain-state/46152,"En Blue Mountain State, el campus universitario más pendenciero del país, los atletas aprenden los altibajos de ser unos de los pocos elegidos que son venerados en el campus."
Wolf Creek,2016 - 2017,12,"Drama, De terror",https://www.starz.com/ar/es/series/wolf-creek/46155,"Mick Taylor regresa para causar estragos en Wolf Creek. Excepto que esta vez una víctima se defiende. La única sobreviviente de la masacre de su familia, la estudiante"
Run the World,2021,9,Drama,https://www.starz.com/ar/es/series/run-the-world/58457,"""Run the World"" es una serie de ocho episodios de media hora de duración que cuenta la historia de un grupo de mujeres negras, vibrantes y leales mejores amigas, que"
High Fidelity,2020,11,"Comedia, Drama",https://www.starz.com/ar/es/series/high-fidelity/60255,"Una re-imaginación de la novela de 1995 de Nick Hornby, ""High Fidelity"" se centra en Rob, una dueña de una tienda de discos que recuerda las relaciones pasadas a través de"
America To Me,2018,10,Documental,https://www.starz.com/ar/es/series/america-to-me/38818,"La serie documental sin libreto “América para mí” lidia con problemas cruciales al plantear preguntas complejas y controvertidas, como se ve a través de los ojos de un"
Warriors Of Liberty City,2018,6,"Documental, Deportes",https://www.starz.com/ar/es/series/warriors-of-liberty-city/39040,"La serie sigue a los Guerreros de Liberty City, un programa de fútbol juvenil. La vida, como el fútbol, es un deporte de contacto, y para los niños, ser un Guerrero es el"
Leavenworth,2019 - 2020,6,"Documental, Drama",https://www.starz.com/ar/es/series/leavenworth/45100,"""Leavenworth"" está basada en la polémica historia real de Clint Lorance, un ex teniente, que cumple una condena de 19 años por homicidio en la prisión estadounidense de"
